Target
A1
A2
A4
A5
A7
A8
A9
A12
A13
A15
A16
A17
A18
A20
A21
A22
A23
A25
A26
A27
A28
A29
A30
A31
A32
A33
A34
A35
A36
A37
A39
A40
A41
A42
A43
A44
A45
A46
A48
A49
A51
A52
A53
A57
A58
A59
A60
A62
A64
A65
A66
A68
A69
A71
A72
A73
A74
A75
A76
A77
A78
A80
A81
A82
A83
A87
A89
A90
A92
A93
A94
A99
A100
A102
A104
A105
A107
A109
A110
A111
A113
A114
A115
A116
A117
A120
A121
A122
E24845
A128
A129
A130
A131
A132
A133
A135
A136
A137
A138
A139
A141
A144
A145
A147
A152
A156
A157
A158
A159
A160
A161
A162
A163
A164
A165
A166
A168
A169
A170
A172
A173
A174
A175
A176
A177
A178
A179
A180
A182
A183
A185
A186
A187
A188
A190
A192
A194
A195
A197
A198
A209
A210
A211
A212
A214
A215
A216
A217
A218
A219
A221
A223
A226
A227
A232
A235
A236
A237
A238
A240
A241
A242
A246
A248
A249
A251
A252
A253
A254
A255
A256
A258
A259
A260
A262
A266
A273
A274
A275
A276
A283
A285
A288
A290
A293
A299
A301
A302
E39168
A306
A308
A309
A315
A318
A319
A320
A330
A332
A337
A339
A351
A352
A353
A359
A360
A361
A364
A370
A380
