target,papers,coauthors,"NI (0,1)","Time (0,1)"
E45,7,8,0,0
E46,25,6,0,0
E47,21,6,0,0
E48,0,0,0,0
E49,4,3,0,0
E50,9,7,0,0
E51,13,13,0,0
E52,0,7,0,0
E53,5,0,0,0
E54,5,2,0,0
E55,8,7,0,0
E56,9,7,0,0
E57,28,12,0,0
E58,5,10,0,0
E59,6,3,0,0
E60,2,7,0,0
A1,38,31,1,1
A2,56,157,1,1
A3,12,50,1,1
A4,15,26,1,1
A5,11,24,1,1
A6,10,75,1,1
A7,26,117,1,1
A8,56,75,1,1
A9,21,102,1,1
A10,13,35,1,1
A11,20,52,1,1
A12,26,84,1,1
A13,10,44,1,1
A14,8,24,1,1
A15,42,94,1,1
A16,16,77,1,1
A17,7,17,1,1
A18,24,163,1,1
A19,18,70,1,1
A20,46,102,1,1
A21,26,78,1,1
A22,15,12,1,1
A23,80,161,1,1
A24,4,6,1,1
A25,16,81,1,1
A26,37,166,1,1
A27,12,24,1,1
A28,32,99,1,1
A29,5,8,1,1
A30,23,41,1,1
A31,7,39,1,1
A32,9,25,1,1
A33,20,62,1,1
A34,30,52,1,1
A35,2,14,1,1
A36,26,35,1,1
A37,13,39,1,1
A38,34,95,1,1
A39,25,41,1,1
A40,37,86,1,1
A41,8,10,1,1
A42,30,155,1,1
A43,19,64,1,1
A44,40,77,1,1
A45,12,25,1,1
A46,16,58,1,1
A47,8,27,1,1
A48,9,39,1,1
A49,17,113,1,1
A50,20,77,1,1
A51,37,76,1,1
A52,36,81,1,1
A53,3,8,1,1
A54,8,101,1,1
A55,49,130,1,1
A56,21,50,1,1
A57,53,109,1,1
A58,2,11,1,1
A59,2,2,1,1
A60,9,16,1,1
A61,19,21,1,1
A62,34,104,1,1
A63,32,53,1,1
A64,39,74,1,1
A65,14,85,1,1
A66,23,73,1,1
A67,51,51,1,1
A68,57,98,1,1
A69,13,40,1,1
A70,18,45,1,1
A71,1,0,1,1
A72,26,101,1,1
A73,18,36,1,1
A74,4,26,1,1
A75,16,53,1,1
A76,20,46,1,1
A77,50,47,1,1
A78,7,17,1,1
A79,16,74,1,1
A80,27,17,1,1
A81,84,253,1,1
A82,5,22,1,1
A83,69,151,1,1
A84,142,145,1,1
A85,24,72,1,1
A86,18,58,1,1
A87,16,60,1,1
A88,38,85,1,1
A89,22,108,1,1
A90,10,13,1,1
A91,101,173,1,1
A92,11,21,1,1
A93,17,81,1,1
A94,31,130,1,1
A95,14,29,1,1
A96,13,38,1,1
A97,10,8,1,1
A98,16,31,1,1
A99,19,35,1,1
A100,30,145,1,1
A101,10,20,1,1
A102,20,56,1,1
A103,9,35,1,1
A104,38,40,1,1
